case_label,intensity_w_cm2,harmonic_order,nearest_harmonic_order,mean_intensity,normalized_intensity,display_intensity,display_scale,display_floor,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,spectrum_model,frequency_grid,driver_sampling,normalization_scope,claim_level,mechanism,processing
BSV - 1e13 W/cm^2,10000000000000.0,1.5599620900865356,1.0,6.235670816804124e-06,1.8901813768109967e-06,0.18901813768109968,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.5999611180374724,1.0,2.6601472134384348e-05,8.063544196186426e-06,0.8063544196186426,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.6399601459884094,1.0,9.869182121611692e-07,2.99158579704937e-07,0.0299158579704937,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.679959173939346,1.0,1.4344640009333211e-05,4.348204419263408e-06,0.4348204419263408,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.719958201890283,1.0,9.30654371815507e-06,2.821036603011345e-06,0.2821036603011345,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.7599572298412198,1.0,2.3883400331113488e-06,7.239631444164217e-07,0.07239631444164217,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.7999562577921564,1.0,1.3265911444423491e-05,4.021215919721121e-06,0.4021215919721121,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.8399552857430932,1.0,6.581234366736653e-07,1.9949299765650044e-07,0.019949299765650044,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.87995431369403,1.0,7.653219120790058e-06,2.319874265297607e-06,0.23198742652976068,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.919953341644967,1.0,5.549111392493063e-06,1.6820687493115307e-06,0.16820687493115308,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
