case_label,intensity_w_cm2,harmonic_order,nearest_harmonic_order,mean_intensity,raw_normalized_intensity,display_metric,normalized_intensity,display_intensity,display_scale,display_floor,display_frequency_rolloff,display_rolloff_reference_order,display_frequency_rolloff_power,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,bsv_tail_quantile,spectrum_model,frequency_grid,driver_sampling,normalization_scope,claim_level,mechanism,processing
BSV - 1e13 W/cm^2,10000000000000.0,1.1999708385281043,1.0,0.0007131932200578919,0.0002613041874292191,0.0007131932200578919,7.558361817964544e-05,7.558361817964544,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.239969866479041,1.0,1.3942987490551082e-07,5.108518861492367e-08,1.3942987490551082e-07,1.477666098233296e-08,0.01,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.2799688944299779,1.0,0.00018030353194175452,6.606073442598631e-05,0.00018030353194175452,1.910841680971232e-05,1.9108416809712319,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.3199679223809149,1.0,5.0497803867243334e-05,1.850170085102463e-05,5.0497803867243334e-05,5.351714821549371e-06,0.5351714821549372,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.3599669503318517,1.0,3.2033414801303314e-05,1.1736602634217733e-05,3.2033414801303314e-05,3.3948743836002484e-06,0.3394874383600248,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.3999659782827885,1.0,7.850760511212157e-05,2.8764106814099725e-05,7.850760511212157e-05,8.320170021402203e-06,0.8320170021402203,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.4399650062337253,1.0,1.4209045131489768e-06,5.205998722096166e-07,1.4209045131489768e-06,1.5058626634570295e-07,0.015058626634570296,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.4799640341846618,1.0,3.610474714810778e-05,1.322828281388865e-05,3.610474714810778e-05,3.826350764654922e-06,0.38263507646549216,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.5199630621355988,1.0,1.8696394430669846e-05,6.850101791721738e-06,1.8696394430669846e-05,1.9814281715536923e-06,0.19814281715536924,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,1.5599620900865356,1.0,6.181079644287175e-06,2.2646625745469665e-06,6.181079644287175e-06,6.550656268631626e-07,0.06550656268631626,100000.0,0.01,1.0,9.0,4.0,15.124284290526582,18.613676776582036,22.00238858521466,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
