driver_state,harmonic_order,mean_intensity,raw_peak_intensity,local_background_intensity,normalized_intensity,display_intensity,display_offset,window_half_width,background_inner_width,background_outer_width,display_min_normalized,mean_cutoff_order,normalized_intensity_cv,spectrum_model,frequency_grid,raw_frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism,processing
coherent,79.0,1.7351346645769568e-12,4.149269155166441e-12,2.4141344905894845e-12,2.8653681046579614e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,81.0,1.4802606223400993e-12,3.549433065245236e-12,2.0691724429051365e-12,2.4444739998716946e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,83.0,1.2801076710549547e-12,3.0609450909130916e-12,1.780837419858137e-12,2.1139452551154834e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,85.0,1.1086726466262704e-12,2.64618011809392e-12,1.5375074714676495e-12,1.8308407439512294e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,87.0,9.629823929620828e-13,2.2941398885697595e-12,1.3311574956076767e-12,1.5902506534347276e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,89.0,8.412129212171854e-13,1.997765925481259e-12,1.1565530042640737e-12,1.3891628833716778e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,91.0,7.38320863264857e-13,1.7463458820914818e-12,1.0080250188266247e-12,1.2192489123709877e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,93.0,6.491678150874726e-13,1.5302515465481003e-12,8.810837314606278e-13,1.0720232785941451e-14,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,95.0,5.717131383955088e-13,1.344097709124049e-12,7.723845707285401e-13,9.441161111099097e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,97.0,5.045266063755218e-13,1.183770984358436e-12,6.792443779829142e-13,8.33165560790757e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
